[14Oct2025 11:27:26.773] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[B][魔法][新生魔艺]ars_nouveau-1.21.1-5.10.6.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.779] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[B][魔法][魔法巫师]hexerei-0.5.0.3.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.783] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][善魂]happy_ghast_legacy-1.8-1.21.1-neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.787] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][幽邃黑暗]deeperdarker-neoforge-1.21.1-1.3.5.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.794] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][暮色森林]twilightforest-1.21.1-4.7.3196-universal.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.797] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][更多武器：传承]weaponmod-neoforge-1.21-1.24.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.802] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][更好的打雪仗3]bsf-3.1.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.805] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][有用的原版生物]useful-mobs-3.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.809] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][模块化傀儡][傀儡地牢]golemdungeons-2.0.4.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.813] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][模块化傀儡]modulargolems-3.1.7.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.818] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][永恒星光][原版矿石生成]eternal_starlight_vo-1.2.1-neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.825] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][永恒星光]eternalstarlight-0.5.1+1.21.1+neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.828] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][永恒枪械工坊：零-非官方版][物品配方升级]tacz-pack-upgrader-2.0.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.833] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][永恒枪械工坊：零-非官方版]tacz-neoforge-1.21.1-1.1.6-hotfix-r5.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.837] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][下界乐事]MyNethersDelight-1.21.1-1.9.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.839] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][午餐肉乐事]luncheon-meat-s-delight-1.0.6-neoforge-1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.842] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][披萨乐事]pizzadelight-1.21.1-2.0.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.845] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][料理乐事]cuisinedelight-1.2.6.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.848] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][新生乐事]arsdelight-2.1.9.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.852] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][暮色风味乐事]twilightdelight-3.0.7.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.855] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][末地乐事]ends_delight-2.5.1+neoforge.1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.859] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][果园乐事]fruitsdelight-1.2.11.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.862] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][自定义三明治]someassemblyrequired-5.2.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.864] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][豆腐乐事]tofudelight-1.21.1-5.0.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.871] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][额外乐事]extradelight-2.6.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.875] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事][饮酒作乐]BrewinAndChewin-neoforge-4.4.1+1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.879] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][农夫乐事]FarmersDelight-1.21.1-1.2.9.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.882] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][森罗物语：厨房]kaleidoscopecookery-1.1.0-neoforge+mc1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.891] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][沉浸式屠宰]butcher-3.5.6-neoforge-1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.895] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][潮汐]tide-neoforge-1.21-1.6.4.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.899] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][茶风·纪事：追叙]teastory_recount-1.21.1-neoforge-0.4.6.0.0.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.904] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[D][农业][豆腐工艺重制版]tofucraft-1.21.1-12.16.2.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.907] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[E][装饰][MrCrayfish 的家具：重制][RF能源扩展]cfm_wap-1.21.1-neoforge-1.2.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.912] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[E][装饰][MrCrayfish 的家具：重制]refurbished_furniture-neoforge-1.21.1-1.0.19.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.914] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[E][装饰][客户端][3D皮肤层]skinlayers3d-neoforge-1.9.2-mc1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.917] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][万物皆铜]everythingcopper-1.21.1-2.4.5.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.920] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][书籍体验增强]scholar-neoforge-1.21.1-1.1.8.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.923] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][优诺牌]minopp-1.4.0+1.21.1+neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.926] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][卡里普索的糖果工坊]ccw-v1.2.0-mc1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.928] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][墓碑]youre-in-grave-danger-neoforge-2.0.13.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.933] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][拴绳增强]MoreLeads-neoforge-1.21-1.2.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.936] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][拾光定影][拾光定影：拍立得]exposure_polaroid-neoforge-1.21.1-1.1.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.939] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][拾光定影]exposure-neoforge-1.21.1-1.9.11.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.941] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][沉浸式奏乐]immersive_melodies-neoforge-0.6.2+1.21.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.943] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][沉浸式飞机]immersive_aircraft-1.4.1+1.21.1-neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.944] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][游戏光碟]gamediscs-0.3.2-neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.948] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][祛魔台]disenchanting_table-merged-1.21.1-5.0.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.951] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[F][实用][精妙存储][精妙物流]sophisticatedstorageinmotion-1.21.1-0.10.24.155.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
